timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2024-08-20 20:44:29,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 80.0 seconds remaining.,[]
2024-08-20 20:44:43,False,0,[],|,False,0,[],|,False,0,|,True,5,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 65.0 seconds remaining.,[]
2024-08-20 20:44:47,False,0,[],|,False,0,[],|,True,22,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2024-08-20 20:45:42,False,0,[],|,False,0,[],|,False,0,|,True,6,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 6.0 seconds remaining.,[]
2024-08-20 20:45:47,False,0,[],|,False,0,[],|,True,21,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,2,"['1 yawn: 8.0 seconds', '2 yawn: 7.0 seconds']"
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,0,|,True,7,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 180.0 seconds remaining.,[]
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,True,3,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds']",|,False,Counting yawns... 180.0 seconds remaining.,[]
2024-08-20 20:45:59,False,0,[],|,False,0,[],|,False,Counting flickers... 48.0 seconds remaining.,|,False,0,[],|,True,4,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds']",|,False,Counting yawns... 169.0 seconds remaining.,[]
2024-08-20 20:46:47,False,0,[],|,False,0,[],|,True,30,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 121.0 seconds remaining.,[]
2024-08-20 20:47:28,False,0,[],|,False,0,[],|,False,0,|,True,8,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 80.0 seconds remaining.,[]
2024-08-20 20:47:31,False,0,[],|,False,0,[],|,False,0,|,True,9,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 76.0 seconds remaining.,[]
2024-08-20 20:47:46,False,0,[],|,False,0,[],|,True,32,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 62.0 seconds remaining.,[]
2024-08-20 20:47:48,True,1,['1 right eye rub: 2.0 seconds'],|,True,0,[],|,False,Counting flickers... 58.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 60.0 seconds remaining.,[]
2024-08-20 20:47:58,False,0,[],|,False,0,[],|,False,0,|,True,10,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 50.0 seconds remaining.,[]
2024-08-20 20:48:03,False,0,[],|,False,0,[],|,False,0,|,True,11,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds', '11 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 45.0 seconds remaining.,[]
2024-08-20 20:48:30,False,0,[],|,False,0,[],|,False,0,|,True,12,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds', '11 micro sleep: 3.0 seconds', '12 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 18.0 seconds remaining.,[]
2024-08-20 20:48:30,False,0,[],|,False,0,[],|,False,Counting flickers... 16.0 seconds remaining.,|,False,0,[],|,True,5,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds', '5 pitch: 4.0 seconds']",|,False,Counting yawns... 17.0 seconds remaining.,[]
2024-08-20 20:48:36,False,0,[],|,False,0,[],|,False,Counting flickers... 10.0 seconds remaining.,|,False,0,[],|,True,6,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds', '5 pitch: 4.0 seconds', '6 pitch: 4.0 seconds']",|,False,Counting yawns... 12.0 seconds remaining.,[]
2024-08-20 21:41:39,False,0,[],|,False,0,[],|,True,28,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-08-20 21:41:42,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 5.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 117.0 seconds remaining.,[]
2024-08-20 21:41:47,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 112.0 seconds remaining.,[]
2024-08-20 21:41:55,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 104.0 seconds remaining.,[]
2024-08-20 21:41:56,False,0,[],|,False,0,[],|,False,Counting flickers... 44.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 12.0 seconds'],|,False,Counting yawns... 104.0 seconds remaining.,[]
2024-08-20 21:42:12,False,0,[],|,False,0,[],|,False,Counting flickers... 27.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 12.0 seconds', '2 pitch: 9.0 seconds']",|,False,Counting yawns... 88.0 seconds remaining.,[]
2024-09-20 23:28:46,False,0,[],|,False,0,[],|,False,Counting flickers... 49.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 169.0 seconds remaining.,[]
2024-09-20 23:28:57,False,0,[],|,False,0,[],|,False,Counting flickers... 39.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds']",|,False,Counting yawns... 159.0 seconds remaining.,[]
2024-09-20 23:29:29,False,0,[],|,False,0,[],|,False,Counting flickers... 7.0 seconds remaining.,|,False,0,[],|,True,3,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds']",|,False,Counting yawns... 127.0 seconds remaining.,[]
2024-09-20 23:29:29,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 126.0 seconds remaining.,[]
2024-09-20 23:29:34,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 121.0 seconds remaining.,[]
2024-09-20 23:29:35,False,0,[],|,False,0,[],|,True,16,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-09-20 23:29:41,False,0,[],|,False,0,[],|,False,Counting flickers... 53.0 seconds remaining.,|,False,0,[],|,True,4,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds']",|,False,Counting yawns... 114.0 seconds remaining.,[]
2024-09-20 23:30:02,False,0,[],|,False,0,[],|,False,Counting flickers... 33.0 seconds remaining.,|,False,0,[],|,True,5,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds']",|,False,Counting yawns... 94.0 seconds remaining.,[]
2024-09-20 23:30:11,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds', '3 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 84.0 seconds remaining.,[]
2024-09-20 23:30:16,False,0,[],|,False,0,[],|,False,Counting flickers... 19.0 seconds remaining.,|,False,0,[],|,True,6,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds']",|,False,Counting yawns... 79.0 seconds remaining.,[]
2024-09-20 23:30:34,False,0,[],|,False,0,[],|,True,10,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2024-09-20 23:30:46,False,0,[],|,False,0,[],|,False,Counting flickers... 49.0 seconds remaining.,|,False,0,[],|,True,7,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds']",|,False,Counting yawns... 50.0 seconds remaining.,[]
2024-09-20 23:31:11,False,0,[],|,False,0,[],|,False,Counting flickers... 23.0 seconds remaining.,|,False,0,[],|,True,8,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds']",|,False,Counting yawns... 24.0 seconds remaining.,[]
2024-09-20 23:31:17,False,0,[],|,False,0,[],|,False,Counting flickers... 17.0 seconds remaining.,|,False,0,[],|,True,9,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds', '9 pitch: 4.0 seconds']",|,False,Counting yawns... 18.0 seconds remaining.,[]
2024-09-20 23:31:27,False,0,[],|,False,0,[],|,False,Counting flickers... 8.0 seconds remaining.,|,False,0,[],|,True,10,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds', '9 pitch: 4.0 seconds', '10 pitch: 6.0 seconds']",|,False,Counting yawns... 9.0 seconds remaining.,[]
2024-09-20 23:31:34,False,0,[],|,False,0,[],|,True,9,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2024-09-20 23:31:35,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-09-20 23:31:47,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 168.0 seconds remaining.,[]
2024-09-20 23:31:50,False,0,[],|,False,0,[],|,False,Counting flickers... 44.0 seconds remaining.,|,False,0,[],|,True,11,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds', '9 pitch: 4.0 seconds', '10 pitch: 6.0 seconds', '11 pitch: 22.0 seconds']",|,False,Counting yawns... 164.0 seconds remaining.,[]
2024-09-20 23:31:57,False,0,[],|,False,0,[],|,False,Counting flickers... 37.0 seconds remaining.,|,False,0,[],|,True,12,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds', '9 pitch: 4.0 seconds', '10 pitch: 6.0 seconds', '11 pitch: 22.0 seconds', '12 pitch: 3.0 seconds']",|,False,Counting yawns... 158.0 seconds remaining.,[]
2024-09-20 23:32:03,False,0,[],|,False,0,[],|,False,Counting flickers... 30.0 seconds remaining.,|,False,0,[],|,True,13,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds', '9 pitch: 4.0 seconds', '10 pitch: 6.0 seconds', '11 pitch: 22.0 seconds', '12 pitch: 3.0 seconds', '13 pitch: 3.0 seconds']",|,False,Counting yawns... 151.0 seconds remaining.,[]
2024-09-20 23:32:18,False,0,[],|,False,0,[],|,False,Counting flickers... 16.0 seconds remaining.,|,False,0,[],|,True,14,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds', '9 pitch: 4.0 seconds', '10 pitch: 6.0 seconds', '11 pitch: 22.0 seconds', '12 pitch: 3.0 seconds', '13 pitch: 3.0 seconds', '14 pitch: 3.0 seconds']",|,False,Counting yawns... 137.0 seconds remaining.,[]
2024-09-20 23:32:31,False,0,[],|,False,0,[],|,False,0,|,True,5,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 124.0 seconds remaining.,[]
2024-09-20 23:32:33,False,0,[],|,False,0,[],|,True,26,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 121.0 seconds remaining.,[]
2024-09-20 23:32:46,False,0,[],|,False,0,[],|,False,Counting flickers... 47.0 seconds remaining.,|,False,0,[],|,True,15,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds', '9 pitch: 4.0 seconds', '10 pitch: 6.0 seconds', '11 pitch: 22.0 seconds', '12 pitch: 3.0 seconds', '13 pitch: 3.0 seconds', '14 pitch: 3.0 seconds', '15 pitch: 12.0 seconds']",|,False,Counting yawns... 108.0 seconds remaining.,[]
2024-09-20 23:32:58,False,0,[],|,False,0,[],|,False,Counting flickers... 36.0 seconds remaining.,|,False,0,[],|,True,16,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds', '9 pitch: 4.0 seconds', '10 pitch: 6.0 seconds', '11 pitch: 22.0 seconds', '12 pitch: 3.0 seconds', '13 pitch: 3.0 seconds', '14 pitch: 3.0 seconds', '15 pitch: 12.0 seconds', '16 pitch: 6.0 seconds']",|,False,Counting yawns... 97.0 seconds remaining.,[]
2024-09-20 23:33:06,False,0,[],|,False,0,[],|,False,Counting flickers... 28.0 seconds remaining.,|,False,0,[],|,True,17,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds', '9 pitch: 4.0 seconds', '10 pitch: 6.0 seconds', '11 pitch: 22.0 seconds', '12 pitch: 3.0 seconds', '13 pitch: 3.0 seconds', '14 pitch: 3.0 seconds', '15 pitch: 12.0 seconds', '16 pitch: 6.0 seconds', '17 pitch: 3.0 seconds']",|,False,Counting yawns... 89.0 seconds remaining.,[]
2024-09-20 23:33:12,False,0,[],|,False,0,[],|,False,Counting flickers... 21.0 seconds remaining.,|,False,0,[],|,True,18,"['1 pitch: 4.0 seconds', '2 pitch: 3.0 seconds', '3 pitch: 5.0 seconds', '4 pitch: 9.0 seconds', '5 pitch: 3.0 seconds', '6 pitch: 7.0 seconds', '7 pitch: 5.0 seconds', '8 pitch: 25.0 seconds', '9 pitch: 4.0 seconds', '10 pitch: 6.0 seconds', '11 pitch: 22.0 seconds', '12 pitch: 3.0 seconds', '13 pitch: 3.0 seconds', '14 pitch: 3.0 seconds', '15 pitch: 12.0 seconds', '16 pitch: 6.0 seconds', '17 pitch: 3.0 seconds', '18 pitch: 4.0 seconds']",|,False,Counting yawns... 83.0 seconds remaining.,[]
2024-09-22 17:05:16,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 177.0 seconds remaining.,[]
2024-09-22 17:05:17,False,0,[],|,False,0,[],|,False,Counting flickers... 56.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 3.0 seconds'],|,False,Counting yawns... 176.0 seconds remaining.,[]
2024-09-22 17:05:18,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 175.0 seconds remaining.,[]
2024-09-22 17:05:35,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds', '3 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 158.0 seconds remaining.,[]
2024-09-22 17:05:42,False,0,[],|,False,0,[],|,False,Counting flickers... 31.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 3.0 seconds', '2 pitch: 24.0 seconds']",|,False,Counting yawns... 151.0 seconds remaining.,[]
2024-09-22 17:06:04,False,0,[],|,False,0,[],|,False,Counting flickers... 8.0 seconds remaining.,|,False,0,[],|,True,3,"['1 pitch: 3.0 seconds', '2 pitch: 24.0 seconds', '3 pitch: 6.0 seconds']",|,False,Counting yawns... 128.0 seconds remaining.,[]
2024-09-22 17:06:12,False,0,[],|,False,0,[],|,True,32,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-09-22 17:06:23,False,0,[],|,False,0,[],|,False,Counting flickers... 49.0 seconds remaining.,|,False,0,[],|,True,4,"['1 pitch: 3.0 seconds', '2 pitch: 24.0 seconds', '3 pitch: 6.0 seconds', '4 pitch: 16.0 seconds']",|,False,Counting yawns... 110.0 seconds remaining.,[]
2024-09-22 17:06:29,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 5.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 104.0 seconds remaining.,[]
2024-09-22 17:06:32,False,0,[],|,False,0,[],|,False,Counting flickers... 41.0 seconds remaining.,|,False,0,[],|,True,5,"['1 pitch: 3.0 seconds', '2 pitch: 24.0 seconds', '3 pitch: 6.0 seconds', '4 pitch: 16.0 seconds', '5 pitch: 6.0 seconds']",|,False,Counting yawns... 101.0 seconds remaining.,[]
2024-09-22 17:06:50,False,0,[],|,False,0,[],|,False,Counting flickers... 23.0 seconds remaining.,|,False,0,[],|,True,6,"['1 pitch: 3.0 seconds', '2 pitch: 24.0 seconds', '3 pitch: 6.0 seconds', '4 pitch: 16.0 seconds', '5 pitch: 6.0 seconds', '6 pitch: 16.0 seconds']",|,False,Counting yawns... 83.0 seconds remaining.,[]
2024-09-22 17:06:57,False,0,[],|,False,0,[],|,False,Counting flickers... 15.0 seconds remaining.,|,False,0,[],|,True,7,"['1 pitch: 3.0 seconds', '2 pitch: 24.0 seconds', '3 pitch: 6.0 seconds', '4 pitch: 16.0 seconds', '5 pitch: 6.0 seconds', '6 pitch: 16.0 seconds', '7 pitch: 7.0 seconds']",|,False,Counting yawns... 76.0 seconds remaining.,[]
2024-09-22 17:07:05,False,0,[],|,False,0,[],|,False,Counting flickers... 7.0 seconds remaining.,|,False,0,[],|,True,8,"['1 pitch: 3.0 seconds', '2 pitch: 24.0 seconds', '3 pitch: 6.0 seconds', '4 pitch: 16.0 seconds', '5 pitch: 6.0 seconds', '6 pitch: 16.0 seconds', '7 pitch: 7.0 seconds', '8 pitch: 5.0 seconds']",|,False,Counting yawns... 68.0 seconds remaining.,[]
2024-09-22 17:07:12,False,0,[],|,False,0,[],|,True,27,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
